assumption,risk_if_wrong,surface,task_id
Hidden oracle captures the intended unsafe behavior.,Visible pass and hidden pass may still be a verification facade.,secure,token_scope_checker
Selector never sees hidden labels.,Selection metrics would overstate trust-boundary value.,secure,token_scope_checker
Inputs are confined to the component interface.,Out-of-band state may invalidate acceptance decisions.,secure,redaction_policy_engine
Hidden oracle captures the intended unsafe behavior.,Visible pass and hidden pass may still be a verification facade.,secure,redaction_policy_engine
Selector never sees hidden labels.,Selection metrics would overstate trust-boundary value.,secure,redaction_policy_engine
Inputs are confined to the component interface.,Out-of-band state may invalidate acceptance decisions.,secure,webhook_signature_validator
Hidden oracle captures the intended unsafe behavior.,Visible pass and hidden pass may still be a verification facade.,secure,webhook_signature_validator
Selector never sees hidden labels.,Selection metrics would overstate trust-boundary value.,secure,webhook_signature_validator
Inputs are confined to the component interface.,Out-of-band state may invalidate acceptance decisions.,secure,rate_limit_key_builder
Hidden oracle captures the intended unsafe behavior.,Visible pass and hidden pass may still be a verification facade.,secure,rate_limit_key_builder
Selector never sees hidden labels.,Selection metrics would overstate trust-boundary value.,secure,rate_limit_key_builder
