accepted_decision,component_family,human_review_required,narrow_waist,rejected_decision,review_boundary_candidate,review_boundary_clear,secure_challenge_eligible,security_critical,spec_coherent,split,support_status,surface,task_id
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,audit_or_logging,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,confirmatory,support_absent,internal,audit_log_writer
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,authorization_policy,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",True,True,False,True,True,confirmatory,support_present,internal,permission_gate
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,path_validation,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,False,True,True,dev,support_absent,secure,safe_path_validation
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,shell_args,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,False,True,True,dev,support_absent,secure,shell_argument_construction
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,archive,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,False,True,True,dev,support_absent,secure,archive_extract_filter
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,url_validation,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,False,True,True,dev,support_absent,secure,url_domain_allowlist
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,parser,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",True,True,True,True,True,confirmatory,support_present,secure,parser_validator_edges
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,canonicalization,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,True,True,True,confirmatory,support_present,secure,input_canonicalization
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,authorization,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",True,True,True,True,True,confirmatory,support_present,secure,authorization_rule_sequence
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,schema,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,True,True,True,confirmatory,support_absent,secure,config_schema_enforcement
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,authorization,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",True,True,True,True,True,confirmatory,support_present,secure,token_scope_checker
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,privacy,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,True,True,True,confirmatory,support_absent,secure,redaction_policy_engine
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,integrity,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,False,True,True,confirmatory,support_absent,secure,webhook_signature_validator
Accept only implementations that pass visible behavior and hidden adversarial security checks for the stated boundary.,abuse_prevention,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that bypass canonicalization, authorization, isolation, or redaction constraints.",False,True,False,True,True,confirmatory,support_absent,secure,rate_limit_key_builder
